ApsimVersion = 7.6
Title = PFnew
           Date  AboveGroundWt  BelowGroundWt AboveGroundNPct   BelowGroundN SpeciesLiveWt(1) SpeciesLiveWt(2) SpeciesLiveWt(3) SpeciesTotalWt(1) SpeciesTotalWt(2) SpeciesTotalWt(3)      HarvestWt AboveGroundLiveN AboveGroundDeadN     watertable        OC_20cm        OC_90cm       OC_180cm      n2o_atm() nitrification()         dnit()    MaySeptNDep   MaySeptTiles    MaySeptRain  MaySeptrunoff     MaySepEvap    MaySepTrans  MaySepNnetMin    MaySepDenit MaySeptTilesNO3 MaySepResImmob  MaySepNuptake       biom_c()    surfaceom_c        fom_c()        hum_c()   surfaceom_wt AboveGroundDeadWt     Cover_dead        C_remob     LeafDeadWt LitterDepositionWt RootSenescenceWt             wf    surfaceom_n surfaceom_cover surface_CN_ratio          no3()          nh4() tf_surface_om1             es    WaterUptake            eos    Cover_green dlt_n_min_tot()    dlt_n_min() dlt_n_min_res()    PlantFixedN NitrogenDemand NitrogenSupply NitrogenUptake PlantRemobilisedN            lai      LAI_green       LAI_dead dlt_fom_c_atm() dlt_fom_c_biom() dlt_fom_c_hum() dlt_fom_c_pool1() dlt_fom_c_pool2() dlt_fom_c_pool3() dlt_fom_n_min() dlt_res_c_biom() dlt_res_c_hum() DefoliatedDigestibility       HarvestN HerbageDigestibility RootSenescenceN       roots_cn   Remaining_Wt    Surface_sot        fom_n()      nit_tot()        sot_cnr       sot_cnrf       roots_N%         oc_5cm        oc_15cm        oc_30cm        oc_60cm       oc_100cm        IntRadn       soil_co2       root_co2  soil_root_co2           sw_5          sw_10          sw_15          sw_35          sw_75           st_5          st_10          st_15          st_35          st_75 subsurface_drain       GLFwater        GLFtemp           GLFn         ToRoot       ToRootDM        sotiris         fom_cn           year subsurface_drain_no3    N_conc_mgLN
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)             (%)        (kg/ha)          (kg/ha)          (kg/ha)          (kg/ha)           (kg/ha)           (kg/ha)           (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)           (mm)             ()             ()             ()        (kg/ha)         (kg/ha)        (kg/ha)             ()           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (kg/ha)            (%)        (kg/ha)        (kg/ha)            (kg/ha)          (kg/ha)          (0-1)        (kg/ha)       (m^2/m^2)               ()        (kg/ha)        (kg/ha)             ()           (mm)           (mm)           (mm)            (%)         (kg/ha)        (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (kg/ha)             ()             ()             ()         (kg/ha)          (kg/ha)         (kg/ha)           (kg/ha)           (kg/ha)           (kg/ha)         (kg/ha)          (kg/ha)         (kg/ha)                   (0-1)        (kg/ha)                (0-1)         (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)             ()             ()             ()             ()             ()             ()             ()             ()           (MJ)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)          (0-1)          (0-1)          (0-1)          (0-1)        (kg/ha)             ()             ()         (year)              (kg/ha)             ()
     05/05/2008          151.6           67.1           2.224            0.9             46.8             46.3             46.3              50.8              50.4              50.3            0.0              3.3              0.1       1820.000              ?              ?              ?            0.0             1.2            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3465.8           96.4          301.3       247860.8          241.0              12.2          0.006            0.0            6.1                2.8              0.0          0.783            4.8           0.048           20.000           41.1            6.4          0.606          4.242          0.645          4.333          0.121             1.0            1.0             0.0            0.0            0.1           47.1            0.1               0.0              ?          0.276          0.012             5.4              3.3             0.4               4.8               4.2               0.1            -0.0              1.7             0.2                   0.000            0.0                0.919             0.0         31.706              ?              ?           13.7        23027.2          0.013          0.677          1.262          2.980          2.465          1.705          1.258          0.556          2.953          0.000          0.000          0.000          0.268          0.246          0.244          0.252          0.252          0.000          0.000          0.000          0.000          0.000            0.000          1.000          0.930          1.000          0.302            1.9        770.650         22.000           2008                  0.0              ?
     06/05/2008          154.0           69.0           2.257            0.9             48.7             47.7             47.7              51.9              51.1              51.0            0.0              3.4              0.1       1820.000              ?              ?              ?            0.0             1.1            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3466.9           88.8          294.0       247857.5          222.0               9.9          0.005            0.0            5.0                2.2              0.0          1.000            4.4           0.044           20.177           42.4            6.2          0.887          4.822          0.719          4.822          0.125             0.9            0.9             0.0            0.0            0.1           48.2            0.1               0.0              ?          0.285          0.010             4.4              2.6             0.3               3.8               3.5               0.1            -0.0              3.1             0.3                   0.000            0.0                0.919             0.0         31.550              ?              ?           13.4        23027.7          0.013          0.677          1.268          2.980          2.465          1.705          1.258          0.556          3.140         17.827          0.397         18.224          0.212          0.241          0.243          0.251          0.252         19.454         19.962         19.834         19.490         19.067            0.000          0.989          0.977          1.000          0.283            1.9        751.959         22.000           2008                  0.0              ?
     07/05/2008          158.1           71.1           2.278            0.9             50.6             49.3             49.3              53.5              52.6              52.0            0.0              3.6              0.0       1820.000              ?              ?              ?            0.0             1.2            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3465.5           86.0          286.5       247854.0          214.9               8.8          0.004            0.0            4.5                1.4              0.0          0.832            4.2           0.043           20.335           43.3            6.0          0.463          4.113          0.341          4.113          0.128             1.0            1.0             0.0            0.0            0.2           48.9            0.2               0.0              ?          0.295          0.009             4.5              2.7             0.3               3.8               3.7               0.1            -0.0              1.2             0.1                   0.000            0.0                0.920             0.0         31.408              ?              ?           13.0        23027.6          0.013          0.677          1.274          2.980          2.465          1.705          1.258          0.556          3.146         18.071          0.459         18.531          0.361          0.361          0.352          0.267          0.251         18.740         18.586         18.530         18.482         18.355            0.000          0.991          0.744          1.000          0.284            2.2        737.141         22.000           2008                  0.0              ?
     08/05/2008          160.1           72.4           2.294            0.9             51.9             50.2             50.2              54.4              53.1              52.6            0.0              3.6              0.0       1820.000              ?              ?              ?            0.0             1.0            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3463.7           84.3          279.6       247850.6          210.7               7.8          0.004            0.0            4.1                1.6              0.1          0.694            4.1           0.043           20.439           44.1            5.9          0.395          2.765          0.352          2.766          0.131             1.0            1.0             0.0            0.0            0.1           49.6            0.1               0.0              ?          0.300          0.008             4.1              2.5             0.3               3.3               3.4               0.1            -0.0              0.8             0.1                   0.000            0.0                0.919             0.0         31.253              ?              ?           12.7        23027.6          0.012          0.677          1.280          2.980          2.465          1.705          1.258          0.556          2.212         15.820          0.337         16.157          0.297          0.301          0.315          0.311          0.264         17.379         17.907         18.170         18.228         18.093            0.000          0.994          0.747          1.000          0.284            1.5        722.142         22.000           2008                  0.0              ?
     09/05/2008          163.8           74.3           2.307            1.0             53.7             51.5             51.4              56.0              54.2              53.6            0.0              3.7              0.0       1820.000              ?              ?              ?            0.0             1.0            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3462.8           82.7          274.1       247847.2          206.7               7.2          0.004            0.0            3.9                1.5              0.2          0.508            4.0           0.042           20.561           44.9            5.6          0.517          3.666          0.372          3.711          0.134             0.8            0.8             0.0            0.0            0.1           50.2            0.1               0.0              ?          0.308          0.008             3.4              2.0             0.2               2.6               2.9               0.1            -0.0              0.8             0.1                   0.000            0.0                0.920             0.0         31.152              ?              ?           12.5        23027.4          0.012          0.677          1.284          2.980          2.465          1.705          1.258          0.556          2.968         14.381          0.314         14.695          0.271          0.281          0.299          0.311          0.277         16.681         16.924         17.177         17.387         17.456            0.000          0.996          0.791          1.000          0.284            2.1        707.943         21.998           2008                  0.0              ?
     10/05/2008          167.3           76.0           2.320            1.0             55.5             52.8             52.6              57.5              55.1              54.6            0.0              3.8              0.0       1820.000              ?              ?              ?            0.0             1.0            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3461.2           79.9          267.9       247844.0          199.7               6.5          0.003            0.0            3.7                1.3              0.2          1.000            3.8           0.041           20.675           45.8            5.6          0.410          3.116          0.267          3.117          0.137             0.9            0.9             0.0            0.0            0.1           51.0            0.1               0.0              ?          0.316          0.007             3.8              2.3             0.3               2.9               3.3               0.1            -0.0              1.2             0.1                   0.000            0.0                0.919             0.0         31.017              ?              ?           12.2        23027.5          0.012          0.677          1.290          2.980          2.465          1.705          1.258          0.556          2.652         12.111          0.381         12.492          0.228          0.269          0.289          0.308          0.284         16.943         16.997         17.018         17.027         17.008            0.000          0.994          0.682          1.000          0.285            1.9        697.225         21.995           2008                  0.0              ?
     11/05/2008          171.0           77.8           2.334            1.0             57.3             54.2             53.8              59.1              56.2              55.7            0.0              4.0              0.0       1820.000              ?              ?              ?            0.0             0.9            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3459.3           78.7          262.4       247840.8          196.8               5.7          0.003            0.0            3.3                1.2              0.2          0.882            3.8           0.041           20.788           46.4            5.6          0.239          2.605          0.282          2.607          0.140             0.9            0.9             0.0            0.0            0.1           51.6            0.1               0.0              ?          0.324          0.007             3.3              2.0             0.2               2.5               3.0               0.1            -0.0              0.6             0.1                   0.000            0.0                0.920             0.0         30.899              ?              ?           11.9        23027.4          0.012          0.677          1.295          2.980          2.465          1.705          1.258          0.556          2.434         14.468          0.338         14.806          0.280          0.266          0.282          0.303          0.288         16.508         16.645         16.747         16.800         16.782            0.000          0.996          0.562          1.000          0.285            2.0        684.827         21.992           2008                  0.0              ?
     12/05/2008          173.9           79.1           2.341            1.0             58.7             55.2             54.7              60.4              57.0              56.5            0.0              4.0              0.0       1820.000              ?              ?              ?            0.0             0.8            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3458.5           76.8          258.0       247837.6          191.9               5.3          0.003            0.0            3.1                1.1              0.3          0.756            3.7           0.040           20.888           47.1            5.5          0.412          2.492          0.447          2.532          0.143             0.7            0.7             0.0            0.0            0.1           52.1            0.1               0.0              ?          0.330          0.006             2.7              1.6             0.2               1.9               2.5               0.1            -0.0              0.9             0.1                   0.000            0.0                0.919             0.0         30.788              ?              ?           11.7        23027.3          0.011          0.677          1.299          2.979          2.465          1.705          1.258          0.556          2.238         12.282          0.229         12.512          0.252          0.261          0.277          0.300          0.289         15.257         15.754         16.080         16.315         16.417            0.000          0.998          0.796          1.000          0.286            1.6        674.182         21.989           2008                  0.0              ?
     13/05/2008          179.9           81.6           2.351            1.1             61.3             57.1             56.6              62.9              58.8              58.2            0.0              4.2              0.0       1820.000              ?              ?              ?            0.0             0.7            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3457.4           75.4          253.7       247834.4          188.6               5.0          0.003            0.0            3.0                1.0              0.3          0.570            3.6           0.040           20.984           47.6            5.4          0.412          2.761          0.410          3.721          0.147             0.7            0.7            -0.0            0.0            0.2           52.7            0.2               0.0              ?          0.342          0.006             2.7              1.6             0.2               1.9               2.5               0.1            -0.0              0.6             0.1                   0.000            0.0                0.921             0.0         30.702              ?              ?           11.5        23027.1          0.011          0.677          1.303          2.979          2.465          1.705          1.258          0.556          3.421         10.786          0.357         11.143          0.220          0.256          0.273          0.296          0.290         16.060         15.858         15.832         15.893         15.971            0.000          1.000          0.723          1.000          0.286            2.8        665.557         21.983           2008                  0.0              ?
     14/05/2008          186.1           84.2           2.360            1.1             64.0             59.0             58.4              65.5              60.6              60.0            0.0              4.4              0.0       1820.000              ?              ?              ?            0.0             0.8            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3455.9           74.8          249.3       247831.0          186.9               4.6          0.003            0.0            2.9                0.9              0.3          0.395            3.5           0.039           21.074           48.1            5.4          0.359          1.289          0.512          3.486          0.152             0.8            0.8            -0.0            0.0            0.2           53.2            0.2               0.0              ?          0.354          0.006             2.7              1.6             0.2               1.8               2.6               0.1            -0.0              0.4             0.0                   0.000            0.0                0.921             0.0         30.559              ?              ?           11.3        23026.9          0.011          0.677          1.309          2.979          2.464          1.705          1.258          0.556          3.316         10.503          0.364         10.867          0.186          0.251          0.269          0.293          0.290         16.730         16.510         16.332         16.156         16.018            0.000          1.000          0.742          1.000          0.287            2.9        658.223         21.977           2008                  0.0              ?
